Date,Food Price Index,Meat Price Index,Dairy Price Index,Cereals Price Index,Oils Price Index,Sugar Price Index
19-Aug,169.7,179.6,194.5,157.8,133.9,174.8
19-Sep,169.2,179.6,193.4,157.4,135.7,168.6
19-Oct,172,180.7,192,164.3,136.4,178.3
19-Nov,176.8,189.7,192.6,162.1,150.6,181.6
19-Dec,181.5,190.8,198.9,164.4,164.7,190.3
20-Jan,183,183.8,200.6,169.3,176.3,200.7
20-Feb,179.5,175.4,209.8,167.9,158.1,209.7
20-Mar,171.1,173.2,203.5,164.2,139.1,169.6
20-Apr,165.6,169.3,196.2,163.7,131.8,144.9
20-May,162.5,168,181.8,162.2,128.1,155.6
